package_id,created_at,test_week,clickability_test_id,headline,eyecatcher_id,impressions,clicks,ctr,ctr_demeaned,first_place,winner,is_highest_ctr,headline_num_persons,headline_num_orgs,headline_num_gpes,headline_has_person,headline_has_org,headline_has_gpe,headline_has_money,starts_with_verb,starts_with_pronoun,starts_with_number,num_pronouns,num_chars,num_tokens,avg_token_len,ends_with_qmark,ends_with_exclaim,has_quote,has_all_caps_word,num_nouns,num_verbs,num_adjs,num_advs,headline_imperative_verb,headline_has_curiosity_word,headline_curiosity_similarity,headline_has_intensity_word,headline_intensity_similarity,neg,neu,pos,compound,created_at_dayofweek,created_at_hourofday,test_group_size,read_flesch,read_coleman,specificity_tfidf
62,2014-11-20 14:57:52.478,201446,546e009a9ad54ec65b00004b,What They Learned From The Scientist Was Terrifying. But That's What They Needed To Hear.,546c7f2dbadeb5788700000a,4594,51,0.0111014366565084,0.1115163227508408,False,False,False,0,0,0,False,False,False,False,False,True,False,5,89,18,4.166666666666667,False,False,True,False,2,5,0,0,False,False,0.9426137208938599,False,0.9426137208938599,0.144,0.856,0.0,-0.3291,3,14,6,80.78250000000001,8.093333333333334,0.4446162435503379
84,2014-11-20 14:54:18.780,201446,546e009a9ad54ec65b00004b,A Science Guy Helps 3 Dudes From America Understand What They're Really Up Against,546c7f2dbadeb5788700000a,4571,58,0.0126886895646466,0.6821077774992537,False,False,False,0,0,1,False,False,True,False,False,False,False,2,82,15,4.6,False,False,True,False,5,2,0,1,False,False,0.8924859166145325,False,0.8924859166145325,0.0,0.809,0.191,0.3818,3,14,6,59.68214285714288,10.257142857142856,0.3708511725972129
95,2014-11-20 15:04:49.517,201446,546e009a9ad54ec65b00004b,He Sat Them Down And Told Them About An Imminent Death — Which Is Why They Came To Australia,546c7f2dbadeb5788700000a,4601,27,0.0058682895022821,-1.769714470610898,False,False,False,0,0,1,False,False,True,False,False,True,False,5,92,19,3.8947368421052633,False,False,False,False,3,4,0,1,False,False,0.7993195056915283,False,0.7993195056915283,0.187,0.813,0.0,-0.5994,3,15,6,80.46500000000002,6.077777777777776,0.3988012368499749
100,2014-11-20 15:13:36.266,201446,546e009a9ad54ec65b00004b,"The 3 Of Them Needed To See It In Person, And The Fact That It Was Beautiful Made It Even Worse",546c7f2dbadeb5788700000a,4567,63,0.0137946135318589,1.0796693520015717,True,False,True,0,0,0,False,False,False,False,False,False,False,4,95,22,3.409090909090909,False,False,False,False,2,4,2,1,False,False,0.8950287699699402,True,0.8950287699699402,0.124,0.72,0.156,0.2023,3,15,6,80.77714285714288,3.2285714285714278,0.4455142324186155
102,2014-11-20 15:15:25.697,201446,546e009a9ad54ec65b00004b,"They May Not Be The Most Handsome Dudes, But They're Passionate. And They Have A Mission.",546c7f2dbadeb5788700000a,4524,44,0.0097259062776304,-0.3829643462783319,False,False,False,0,0,0,False,False,False,False,False,True,False,3,89,20,3.7,False,False,True,False,2,4,2,1,False,False,0.9495114684104919,True,0.9495114684104919,0.0,0.655,0.345,0.7812,3,15,6,92.965,5.875,0.49700611553670215
103,2014-11-20 15:22:07.561,201446,546cb9c954524053ac000013,"The Selfies Were Already Bad Enough, But Then There Was Everything Else. This Woman May Have Issues.",546c7f42badeb54dd0000005,4527,189,0.0417495029821073,1.2750110789984892,True,False,True,0,0,0,False,False,False,False,False,False,False,2,100,20,4.2,False,False,False,False,4,4,1,3,False,False,0.9447238445281982,True,0.9447238445281982,0.123,0.877,0.0,-0.3071,3,15,4,73.79573529411766,8.35294117647059,0.4890816386135304
104,2014-11-20 15:44:52.233,201446,546cb9c954524053ac000013,Warning: Beware Of Her Selfies And Stereotypes. She's Doing Pretty Much Everything Wrong.,546c7f42badeb54dd0000005,4600,154,0.0334782608695652,-1.0083547340945178,False,False,False,0,0,0,False,False,False,False,False,False,False,3,89,17,4.529411764705882,False,False,True,False,3,3,2,1,False,False,0.9008445143699646,True,0.9008445143699646,0.294,0.535,0.171,-0.3182,3,15,4,50.56057692307695,12.215384615384618,0.3683435458453753
105,2014-11-20 15:45:15.951,201446,546cb9c954524053ac000013,"Sigh... I Wanted To Like This Woman, But The Selfies Were Too Much. Also, Everything Else About Her.",546c7f42badeb54dd0000005,4603,162,0.0351944384097327,-0.5345853689740605,False,False,False,0,0,0,False,False,False,False,False,False,False,3,100,23,3.608695652173913,False,False,False,False,3,3,1,3,False,False,0.9497852921485901,True,0.9497852921485901,0.0,0.901,0.099,0.1901,3,15,4,80.20000000000003,5.400000000000002,0.42820721663426414
140,2014-11-20 19:47:22.141,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea.,546a84cc5b606a1fa0000022,3017,35,0.0116009280742459,-1.154855996782392,False,False,False,0,0,0,False,False,False,False,False,False,False,1,66,14,3.857142857142857,False,False,False,False,3,3,0,1,False,False,0.8362954258918762,False,0.8362954258918762,0.0,0.73,0.27,0.5719,3,19,6,63.486153846153854,5.569230769230771,0.40510255022612257
157,2015-02-05 08:37:40.316,201505,54d1967c63666200191c0000,My Mom Forced Me To Study When I Was A Kid. These Parents Don't Want Kids To Take This Test At All.,54d1d11364666100261c0000,2188,14,0.006398537477148,-0.8393968503198435,False,False,False,0,0,0,False,False,False,False,False,True,False,3,99,25,3.12,False,False,True,False,5,6,0,1,False,False,0.9079564809799194,False,0.9079564809799194,0.19,0.81,0.0,-0.4976,3,8,6,103.37909090909093,1.2818181818181849,0.3253715155951061
167,2014-11-20 18:21:02.939,201446,546e2ce926714c856600004f,"Colbert Asked Eva Longoria If She Produced A Tomato, But What She Really Produced Is So Much Better",546e302d26714cd2dd00005b,3612,50,0.0138427464008859,1.8205873421805543,True,False,True,1,1,0,True,True,False,False,False,False,False,3,99,19,4.315789473684211,False,False,False,False,4,4,1,3,False,False,0.8727014660835266,False,0.8727014660835266,0.0,0.789,0.211,0.6448,3,18,6,52.265000000000015,8.655555555555555,0.31080092495418643
168,2014-11-20 18:21:46.162,201446,546e2ce926714c856600004f,"Without Our 'Food Chains', We'd All Be In 'The Hunger Games'",546e302d26714cd2dd00005b,3529,15,0.0042504958911873,-0.8694794401925892,False,False,False,0,0,0,False,False,False,False,False,False,False,3,60,17,2.9411764705882355,False,False,True,False,4,2,0,0,False,False,0.7698194980621338,False,0.7698194980621338,0.167,0.833,0.0,-0.25,3,18,6,87.99727272727276,4.709090909090911,0.48751270906190614
169,2014-11-20 18:26:37.742,201446,546e2ce926714c856600004f,"From Wisteria Lane To The Farm, Actress Eva Longoria Has It Together",546e302d26714cd2dd00005b,3573,16,0.0044780296669465,-0.8056694874167523,False,False,False,1,0,0,True,False,False,False,False,False,False,1,68,13,4.384615384615385,False,False,False,False,6,1,0,1,False,False,0.7263147234916687,False,0.7263147234916687,0.0,1.0,0.0,0.0,3,18,6,46.60500000000002,8.800000000000004,0.4039245041219095
170,2014-11-20 18:27:35.087,201446,546e2ce926714c856600004f,"In This World 40,000 Pounds Is Worth Only $400. Holy Crap, That's Not Good.",546e302d26714cd2dd00005b,3616,25,0.0069137168141592,-0.1226013085420039,False,False,False,0,0,0,False,False,False,True,False,False,False,1,75,19,3.263157894736842,False,False,True,False,4,2,2,1,False,False,0.8759480714797974,False,0.8759480714797974,0.28,0.614,0.106,-0.4777,3,18,6,103.04428571428575,3.1714285714285744,0.32588604978295366
179,2014-11-20 18:37:56.353,201446,546e2ce926714c856600004f,What Are Walmart And Whole Foods Doing That Wendy's Isn't?,546e302d26714cd2dd00005b,3485,30,0.0086083213773314,0.3526364305097584,False,False,False,1,0,0,True,False,False,False,False,True,False,1,58,13,3.769230769230769,True,False,True,False,4,3,0,0,False,False,0.9283978343009949,False,0.9283978343009949,0.0,1.0,0.0,0.0,3,18,6,78.24500000000002,7.919999999999998,0.4332339501266791
226,2014-11-20 19:53:24.931,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e47149ad54e667a000084,3077,40,0.0129996750081247,-0.966983578904392,False,False,False,0,0,0,False,False,False,False,False,False,False,1,65,13,4.076923076923077,False,False,False,False,3,3,0,1,False,False,0.7991083860397339,False,0.7991083860397339,0.0,0.73,0.27,0.5719,3,19,6,63.486153846153854,5.569230769230771,0.40510255022612257
