package_id,created_at,test_week,clickability_test_id,headline,eyecatcher_id,impressions,clicks,ctr,first_place,winner,is_highest_ctr,headline_num_persons,headline_num_orgs,headline_num_gpes,headline_has_person,headline_has_org,headline_has_gpe,headline_has_money,starts_with_verb,starts_with_pronoun,starts_with_number,num_pronouns,num_chars,num_tokens,avg_token_len,ends_with_qmark,ends_with_exclaim,has_quote,has_all_caps_word,num_nouns,num_verbs,num_adjs,num_advs,headline_imperative_verb,headline_has_curiosity_word,headline_curiosity_similarity,headline_has_intensity_word,headline_intensity_similarity,neg,neu,pos,compound,created_at_dayofweek,created_at_hourofday,test_group_size,read_flesch,read_coleman,specificity_tfidf,topic_bertopic
0,2014-11-20 06:43:16.005,201446,546d88fb84ad38b2ce000024,They're Being Called 'Walmart's Worst Nightmare.' And I *Really* Hope It Comes True.,546d6fa19ad54eec8d00002d,3052,150,0.0491480996068152,True,True,True,0,0,0,False,False,False,False,False,True,False,3,84,21,3.4285714285714284,False,False,True,False,3,5,1,1,False,False,0.9140149354934692,False,0.9140149354934692,0.218,0.479,0.303,0.1531,3,6,4,89.6067307692308,8.2,0.3501766749644008,-1
1,2014-11-20 06:43:44.646,201446,546d88fb84ad38b2ce000024,They're Being Called 'Walmart's Worst Nightmare.' And I *Really* Hope It Comes True.,546d6fa19ad54eec8d00002d,3033,122,0.0402242004615891,False,False,False,0,0,0,False,False,False,False,False,True,False,3,84,21,3.4285714285714284,False,False,True,False,3,5,1,1,False,False,0.9140149354934692,False,0.9140149354934692,0.218,0.479,0.303,0.1531,3,6,4,89.6067307692308,8.2,0.3501766749644008,-1
2,2014-11-20 06:44:59.804,201446,546d88fb84ad38b2ce000024,They're Being Called 'Walmart's Worst Nightmare.' And I *Really* Hope It Comes True.,546d6fa19ad54eec8d00002d,3092,110,0.0355756791720569,False,False,False,0,0,0,False,False,False,False,False,True,False,3,84,21,3.4285714285714284,False,False,True,False,3,5,1,1,False,False,0.9140149354934692,False,0.9140149354934692,0.218,0.479,0.303,0.1531,3,6,4,89.6067307692308,8.2,0.3501766749644008,-1
3,2014-11-20 06:54:36.335,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546bc55335992b86c8000043,3526,90,0.0255246738513896,False,False,False,0,0,0,False,False,False,False,False,True,False,2,43,8,4.5,False,False,False,False,2,2,0,0,False,False,0.847069501876831,False,0.847069501876831,0.0,0.737,0.263,0.3612,3,6,8,82.39000000000001,6.600000000000001,0.4869903608444278,-1
4,2014-11-20 06:54:57.878,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900426714cd2dd00002e,3506,120,0.0342270393610952,True,False,True,0,0,0,False,False,False,False,False,True,False,2,43,8,4.5,False,False,False,False,2,2,0,0,False,False,0.847069501876831,False,0.847069501876831,0.0,0.737,0.263,0.3612,3,6,8,82.39000000000001,6.600000000000001,0.4869903608444278,-1
5,2014-11-20 06:55:07.212,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900426714c6c44000038,3380,98,0.0289940828402366,False,False,False,0,0,0,False,False,False,False,False,True,False,2,43,8,4.5,False,False,False,False,2,2,0,0,False,False,0.847069501876831,False,0.847069501876831,0.0,0.737,0.263,0.3612,3,6,8,82.39000000000001,6.600000000000001,0.4869903608444278,-1
6,2014-11-20 06:55:20.347,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900426714c1ad900001e,3465,75,0.0216450216450216,False,False,False,0,0,0,False,False,False,False,False,True,False,2,43,8,4.5,False,False,False,False,2,2,0,0,False,False,0.847069501876831,False,0.847069501876831,0.0,0.737,0.263,0.3612,3,6,8,82.39000000000001,6.600000000000001,0.4869903608444278,-1
7,2014-11-20 06:55:43.497,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900484ad38b2ce000027,3431,86,0.0250655785485281,False,False,False,0,0,0,False,False,False,False,False,True,False,2,43,8,4.5,False,False,False,False,2,2,0,0,False,False,0.847069501876831,False,0.847069501876831,0.0,0.737,0.263,0.3612,3,6,8,82.39000000000001,6.600000000000001,0.4869903608444278,-1
8,2014-11-20 06:55:57.651,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900484ad385a0a000038,3394,76,0.0223924572775486,False,False,False,0,0,0,False,False,False,False,False,True,False,2,43,8,4.5,False,False,False,False,2,2,0,0,False,False,0.847069501876831,False,0.847069501876831,0.0,0.737,0.263,0.3612,3,6,8,82.39000000000001,6.600000000000001,0.4869903608444278,-1
9,2014-11-20 06:56:08.696,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900484ad381bbe00002b,3505,95,0.0271041369472182,False,False,False,0,0,0,False,False,False,False,False,True,False,2,43,8,4.5,False,False,False,False,2,2,0,0,False,False,0.847069501876831,False,0.847069501876831,0.0,0.737,0.263,0.3612,3,6,8,82.39000000000001,6.600000000000001,0.4869903608444278,-1
