topic_id,top_50_words
-1,"the, to, you, it, of, this, and, in, is, that, what, for, about, they, on, he, but, with, if, people"
0,"she, her, to, the, he, was, his, and, but, it, what, this, in, is, for, that, they, of, so, you"
1,"kids, to, these, teachers, these kids, of, the, they, this, we, it, them, and, have, what, are, kid, you, so, school"
2,"women, feminism, men, feminist, they, the, to, these, are, and, of, woman, watch, feminists, you, in, it, these women, girls, man"
3,"gay, straight, marriage, gay marriage, the, to, gay people, he, people, actor, this, and, it, of, his, homophobic, you, anti, about, some"
4,"video, this video, seconds, this, the, you, dogs, dog, to, it, me, cat, watch, minutes, that, of, and, first, the first, minute"
5,"white, race, white people, people, comedian, black, racism, you, the, black people, about race, of, jokes, hilarious, to, funny, about, and, discrimination, that"
6,"food, restaurant, you, the, eat, your, it, fast, to, that, is, workers, fast food, here, of, your food, what, more, they, not"
7,"news, fox news, fox, ferguson, the, police, cops, of, anchor, what, it, on, about, to, coverage, with, this, news anchors, anchors, the news"
8,"jobs, money, poor, people, welfare, the, of, poverty, you, is, billion, keeping, are, what, to, it, that, here, and, economy"
9,"song, music, songs, this song, the, rapper, this, to, that, singer, in, of, hip hop, hop, his, hip, listen, song about, you, country music"
10,"water, town, it, city, the, and, in, is, of, to, people, what, california, one, crisis, not, park, in the, tried to, this"
11,"science, science guy, scientist, the, of, the science, and, in, time, all the, evolution, famous scientist, bill, about, guy, facts, degrasse, neil degrasse, all, he"
12,"rape, raped, sexually, assault, assaulted, violence, women, survivor, they, sexually assaulted, sexual, to, women on, sexual assault, rape survivor, why, let rape, took steps, survivor tell, prevent rape"
13,"abortion, cancer, pregnant, baby, abortions, are, women, different, to, abortions is, the, about, about abortion, anti abortion, in, preventable, some, there an, preventable things, abortion protestors"
14,"football, player, nfl, football player, the nfl, players, team, his, sports, locker, football players, america, coach, player hit, professional, professional football, four year, america telling, america saw, wife on"
15,"climate, climate change, change, about climate, warming, global warming, global, about, it, here, you, the, blue, is, to, of, 83, what global, change here, 83 seconds"
16,"space, we, nasa, live, big bang, bang, scientists, this, the, visuals, make you, what wonderful, spoken with, we went, with visuals, games sequel, wonderful world, visuals to, sequel but, sequel"
17,"fashion, models, model, look, beauty, photoshop, her, type, swimsuit, magazine, body, industry, actress and, mogul, mogul point, the fashion, pretty solid, point out, and mogul, beauty product"
18,"wage, minimum wage, minimum, the minimum, raising the, raising, the, pay, against raising, simple, for, gap, against, working, argument against, for minimum, working for, argument, wage is, simple argument"
19,"prison, to prison, go to, borked, prisons, actually want, go, prison you, who actually, to go, people, want you, in, the, add tons, and stir, cash and, stir, of cash, jail"
